# Integration time = 100 ms
# Spectrometer: USB2000
# Time: 2023-07-18 09:59:13.170444

# x (wavelengths), y (counts)
4.842191721042394192E+02 , 2.300000000000000000E+02
4.845865719391034077E+02 , 2.290000000000000000E+02
4.849539319850059655E+02 , 2.310000000000000000E+02
4.853212522244700153E+02 , 2.410000000000000000E+02
4.856885326400182521E+02 , 2.440000000000000000E+02
4.860557732141734846E+02 , 2.330000000000000000E+02
4.864229739294584647E+02 , 2.370000000000000000E+02
4.867901347683959443E+02 , 2.420000000000000000E+02
4.871572557135087322E+02 , 2.370000000000000000E+02
4.875243367473196940E+02 , 2.490000000000000000E+02
4.878913778523515248E+02 , 2.430000000000000000E+02
4.882583790111269764E+02 , 2.420000000000000000E+02
4.886253402061688575E+02 , 2.400000000000000000E+02
4.889922614199999771E+02 , 2.460000000000000000E+02
4.893591426351431437E+02 , 2.420000000000000000E+02
4.897259838341210525E+02 , 2.380000000000000000E+02
4.900927849994565122E+02 , 2.340000000000000000E+02
4.904595461136723316E+02 , 2.360000000000000000E+02
4.908262671592912625E+02 , 2.360000000000000000E+02
4.911929481188360569E+02 , 2.370000000000000000E+02
4.915595889748296372E+02 , 2.340000000000000000E+02
4.919261897097945848E+02 , 2.360000000000000000E+02
4.922927503062537085E+02 , 2.360000000000000000E+02
4.926592707467299874E+02 , 2.290000000000000000E+02
4.930257510137460599E+02 , 2.270000000000000000E+02
4.933921910898246210E+02 , 2.360000000000000000E+02
4.937585909574886500E+02 , 2.330000000000000000E+02
4.941249505992607283E+02 , 2.280000000000000000E+02
4.944912699976637782E+02 , 2.280000000000000000E+02
4.948575491352204949E+02 , 2.280000000000000000E+02
4.952237879944537440E+02 , 2.250000000000000000E+02
4.955899865578861636E+02 , 2.240000000000000000E+02
4.959561448080406763E+02 , 2.210000000000000000E+02
4.963222627274400907E+02 , 2.280000000000000000E+02
4.966883402986069314E+02 , 2.280000000000000000E+02
4.970543775040641776E+02 , 2.340000000000000000E+02
4.974203743263346951E+02 , 2.220000000000000000E+02
4.977863307479411219E+02 , 2.250000000000000000E+02
4.981522467514062669E+02 , 2.230000000000000000E+02
4.985181223192528819E+02 , 2.240000000000000000E+02
4.988839574340037757E+02 , 2.230000000000000000E+02
4.992497520781817570E+02 , 2.230000000000000000E+02
4.996155062343095210E+02 , 2.170000000000000000E+02
4.999812198849100469E+02 , 2.190000000000000000E+02
5.003468930125058023E+02 , 2.180000000000000000E+02
5.007125255996197666E+02 , 2.130000000000000000E+02
5.010781176287748053E+02 , 2.180000000000000000E+02
5.014436690824935567E+02 , 2.140000000000000000E+02
5.018091799432987159E+02 , 2.180000000000000000E+02
5.021746501937132621E+02 , 2.130000000000000000E+02
5.025400798162599472E+02 , 2.130000000000000000E+02
5.029054687934613526E+02 , 2.160000000000000000E+02
5.032708171078405144E+02 , 2.130000000000000000E+02
5.036361247419200708E+02 , 2.140000000000000000E+02
5.040013916782227170E+02 , 2.150000000000000000E+02
5.043666178992714322E+02 , 2.130000000000000000E+02
5.047318033875889114E+02 , 2.140000000000000000E+02
5.050969481256979634E+02 , 2.150000000000000000E+02
5.054620520961212264E+02 , 2.150000000000000000E+02
5.058271152813816798E+02 , 2.180000000000000000E+02
5.061921376640020185E+02 , 2.130000000000000000E+02
5.065571192265049945E+02 , 2.080000000000000000E+02
5.069220599514134165E+02 , 2.100000000000000000E+02
5.072869598212500364E+02 , 2.140000000000000000E+02
5.076518188185376630E+02 , 2.170000000000000000E+02
5.080166369257989913E+02 , 2.170000000000000000E+02
5.083814141255570576E+02 , 2.090000000000000000E+02
5.087461504003343293E+02 , 2.140000000000000000E+02
5.091108457326537291E+02 , 2.200000000000000000E+02
5.094755001050380656E+02 , 2.130000000000000000E+02
5.098401135000101476E+02 , 2.150000000000000000E+02
5.102046859000925565E+02 , 2.150000000000000000E+02
5.105692172878083284E+02 , 2.130000000000000000E+02
5.109337076456800446E+02 , 2.110000000000000000E+02
5.112981569562305708E+02 , 2.130000000000000000E+02
5.116625652019826020E+02 , 2.130000000000000000E+02
5.120269323654591744E+02 , 2.120000000000000000E+02
5.123912584291828125E+02 , 2.170000000000000000E+02
5.127555433756762113E+02 , 2.110000000000000000E+02
5.131197871874625207E+02 , 2.140000000000000000E+02
5.134839898470642083E+02 , 2.150000000000000000E+02
5.138481513370041966E+02 , 2.140000000000000000E+02
5.142122716398050670E+02 , 2.110000000000000000E+02
5.145763507379900830E+02 , 2.150000000000000000E+02
5.149403886140814848E+02 , 2.090000000000000000E+02
5.153043852506023086E+02 , 2.210000000000000000E+02
5.156683406300752495E+02 , 2.160000000000000000E+02
5.160322547350231162E+02 , 2.110000000000000000E+02
5.163961275479688311E+02 , 2.100000000000000000E+02
5.167599590514347483E+02 , 2.160000000000000000E+02
5.171237492279443586E+02 , 2.180000000000000000E+02
5.174874980600197887E+02 , 2.160000000000000000E+02
5.178512055301840746E+02 , 2.120000000000000000E+02
5.182148716209600252E+02 , 2.120000000000000000E+02
5.185784963148703355E+02 , 2.170000000000000000E+02
5.189420795944377005E+02 , 2.120000000000000000E+02
5.193056214421852701E+02 , 2.140000000000000000E+02
5.196691218406355119E+02 , 2.110000000000000000E+02
5.200325807723112348E+02 , 2.120000000000000000E+02
5.203959982197353611E+02 , 2.170000000000000000E+02
5.207593741654304722E+02 , 2.100000000000000000E+02
5.211227085919192632E+02 , 2.160000000000000000E+02
5.214860014817249976E+02 , 2.130000000000000000E+02
5.218492528173700293E+02 , 2.110000000000000000E+02
5.222124625813771672E+02 , 2.120000000000000000E+02
5.225756307562695611E+02 , 2.160000000000000000E+02
5.229387573245694512E+02 , 2.150000000000000000E+02
5.233018422687998736E+02 , 2.080000000000000000E+02
5.236648855714837509E+02 , 2.130000000000000000E+02
5.240278872151436644E+02 , 2.210000000000000000E+02
5.243908471823024229E+02 , 2.160000000000000000E+02
5.247537654554829487E+02 , 2.170000000000000000E+02
5.251166420172079370E+02 , 2.140000000000000000E+02
5.254794768499999691E+02 , 2.110000000000000000E+02
5.258422699363820811E+02 , 2.110000000000000000E+02
5.262050212588769682E+02 , 2.090000000000000000E+02
5.265677308000075527E+02 , 2.160000000000000000E+02
5.269303985422963024E+02 , 2.090000000000000000E+02
5.272930244682663670E+02 , 2.110000000000000000E+02
5.276556085604401005E+02 , 2.090000000000000000E+02
5.280181508013406528E+02 , 2.210000000000000000E+02
5.283806511734904916E+02 , 2.070000000000000000E+02
5.287431096594126529E+02 , 2.140000000000000000E+02
5.291055262416299456E+02 , 2.110000000000000000E+02
5.294679009026650647E+02 , 2.190000000000000000E+02
5.298302336250407052E+02 , 2.130000000000000000E+02
5.301925243912796759E+02 , 2.120000000000000000E+02
5.305547731839046719E+02 , 2.100000000000000000E+02
5.309169799854386156E+02 , 2.160000000000000000E+02
5.312791447784045431E+02 , 2.120000000000000000E+02
5.316412675453246948E+02 , 2.160000000000000000E+02
5.320033482687222204E+02 , 2.190000000000000000E+02
5.323653869311197013E+02 , 2.100000000000000000E+02
5.327273835150399464E+02 , 2.180000000000000000E+02
5.330893380030058779E+02 , 2.180000000000000000E+02
5.334512503775401910E+02 , 2.130000000000000000E+02
5.338131206211656945E+02 , 2.140000000000000000E+02
5.341749487164051970E+02 , 2.150000000000000000E+02
5.345367346457813937E+02 , 2.180000000000000000E+02
5.348984783918168660E+02 , 2.100000000000000000E+02
5.352601799370348772E+02 , 2.220000000000000000E+02
5.356218392639577814E+02 , 2.180000000000000000E+02
5.359834563551086148E+02 , 2.180000000000000000E+02
5.363450311930099588E+02 , 2.200000000000000000E+02
5.367065637601848493E+02 , 2.200000000000000000E+02
5.370680540391558679E+02 , 2.260000000000000000E+02
